"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @PIADesk: #PresidentDuterte's 100 First Days will be telecast over PTV4, Oct. 7 at 7:00PM-8:00PM. https://t.co/SzhgDoYIEG #100DaysOfChanâ€¦",FALSE,0,NA,2016-10-07 05:44:16,FALSE,NA,"784268084357967872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PIACentralViz",3,TRUE,FALSE,NA,NA
"2","PH would not sacrifice dignity as a nation 4 aid from other countries who do not understand d seriousness of drugs problem #PresidentDuterte",FALSE,0,NA,2016-10-07 05:43:48,FALSE,NA,"784267963859730432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuan_sheila",0,FALSE,FALSE,NA,NA
"3","RT @chuan_sheila: #PresidentDuterte said he is ready to uphold the integrity of the Philippines even if he dies of hunger.We love &amp; supportâ€¦",FALSE,0,NA,2016-10-07 05:42:58,FALSE,NA,"784267756912857088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Noel_Dolor",1,TRUE,FALSE,NA,NA
"4","RT @piaranada: #PresidentDuterte: We will survive as a nation. I will be the first one to die of hunger. We will never compromise our digniâ€¦",FALSE,0,NA,2016-10-07 05:41:33,FALSE,NA,"784267398106918912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TinMan43nidad",29,TRUE,FALSE,NA,NA
"5","#PresidentDuterte said he is ready to uphold the integrity of the Philippines even if he dies of hunger.We love &amp; sâ€¦ https://t.co/B0YeHAUJd6",FALSE,0,NA,2016-10-07 05:39:47,TRUE,NA,"784266954882166784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuan_sheila",1,FALSE,FALSE,NA,NA
"6","RT @momblogger: Traffic decongestion.Perhaps #PresidentDuterte can focus here too. If there is anything that Will unite us in MM, it is theâ€¦",FALSE,0,NA,2016-10-07 05:37:39,FALSE,NA,"784266418074161152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chinita2956",3,TRUE,FALSE,NA,NA
"7","""We will never compromise our dignity as Filipino.We will survive. I'll be the first one to go hungry.Do not worry,"" #PresidentDuterte said.",FALSE,0,NA,2016-10-07 05:33:48,FALSE,NA,"784265448212733952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuan_sheila",0,FALSE,FALSE,NA,NA
"8","RT @piaranada: #PresidentDuterte: We will survive as a nation. I will be the first one to die of hunger. We will never compromise our digniâ€¦",FALSE,0,NA,2016-10-07 05:31:46,FALSE,NA,"784264936033624064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unilubis",29,TRUE,FALSE,NA,NA
"9","We make a stand that this country has to survive, that this country must see to it that the next generation is protected #PresidentDuterte",FALSE,1,NA,2016-10-07 05:29:16,FALSE,NA,"784264307454324737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuan_sheila",1,FALSE,FALSE,NA,NA
"10","#PresidentDuterte believes that d Philippines' survival is more important than ""crumbs"" from other countries.We support PRRD good governance",FALSE,2,NA,2016-10-07 05:27:22,FALSE,NA,"784263830016659457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuan_sheila",0,FALSE,FALSE,NA,NA
"11","RT @piaranada: #PresidentDuterte: We will survive as a nation. I will be the first one to die of hunger. We will never compromise our digniâ€¦",FALSE,0,NA,2016-10-07 05:26:41,FALSE,NA,"784263658494828545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tiver_A",29,TRUE,FALSE,NA,NA
